"","Province","Total_Generation_GWh","Hydro_Wave_Tidal","Wind","Biomass_Geothermal","Solar","Uranium","Coal_Coke","Natural_Gas","Oil","HydroPercent","WindPercent","BiomassPercent","SolarPercent","CoalPercent","GasPercent","OilPercent"
"1","Canada",621540.01,357238.38,40105.36,8836.76,6810.89,84011,22899.68,98755.36,2882.58,0.574763288368194,0.0645257897395857,0.0142175239853022,0.0109580877987243,0.0368434527650119,0.158888178413486,0.00463780280210762
"2","Newfoundland and Labrador",44292.65,42945.55,172.26,20.46,0.66,0,0,243.95,909.77,0.969586376069167,0.00388913284709766,0.000461927656168687,1.49008921344738e-05,0,0.00550768581243163,0.0205399767230003
"3","Prince Edward Island",557.08,0,496.04,3.65,52.7,0,0,0,4.69,0,0.890428663746679,0.0065520212536799,0.0946004164572413,0,0,0.00841889854239966
"4","Nova Scotia",9058.48,972.42,1379.86,286.54,97.79,0,4239.19,1932.44,150.24,0.107349135837359,0.152327984385901,0.031632238521253,0.0107954093843559,0.467980279252148,0.213329388594996,0.0165855640239864
"5","New Brunswick",13895.84,3538.39,667.73,520.73,11.81,4745.49,1787.39,2121.46,502.84,0.254636639454686,0.0480525106794551,0.0374738051100185,0.000849894644728206,0.128627704406499,0.152668712362837,0.0361863694458198
"6","Quebec",195507.73,183669.56,9728.42,1343.55,24.62,0,0,286.43,455.15,0.939449094928369,0.0497597716468807,0.00687210679598193,0.000125928524667541,0,0.00146505716167847,0.00232804094242207
"7","Ontario",158135.33,39800.76,12366.48,960.93,3504.16,79265.51,0,22159.13,78.36,0.251687968779652,0.0782018793649718,0.00607663069346995,0.0221592480314171,0,0.140127636246751,0.000495524940568309
"8","Manitoba",33373.68,32307.46,849.28,74.91,50.76,0,0,64.98,26.29,0.968052069774744,0.0254475982271059,0.00224458315654731,0.00152095903118865,0,0.00194704329879114,0.000787746511622332
"9","Alberta",84133.86,1783.93,10678.03,1685.89,2793.66,0,8938.24,58198.55,55.56,0.0212034726565499,0.126917153212749,0.0200381867657088,0.0332049426948912,0.10623832069514,0.6917375477602,0.000660376214760621
"10","British Columbia",56165.88,48827.16,1764.42,3898.47,113.95,0,0,1519.29,42.59,0.869338466699,0.0314144459233969,0.0694099335753308,0.00202881179819492,0,0.0270500524517732,0.000758289552304709
"11","Saskatchewan",24900.88,2770.32,1985.87,41.64,78.06,0,7934.86,12089.4,0.73,0.111253899460581,0.079750996751922,0.0016722300577329,0.00313482896989986,0.318657814502941,0.485500914023922,2.93162330006008e-05
"12","Yukon",636.81,488.01,0.62,0,79.78,0,0,36.39,32.01,0.766335327648749,0.000973602801463545,0,0.12528069596897,0,0.0571442031375135,0.0502661704433033
"13","Northwest Territories",686.7,134.82,16.37,0,1.8,0,0,103.35,430.36,0.196330275229358,0.0238386486092908,0,0.00262123197903014,0,0.150502402795981,0.62670744138634
"14","Nunavut",195.15,0,0,0,1.14,0,0,0,194.01,0,0,0,0.00584166026133743,0,0,0.994158339738663
