"","PowerType","Key","WaterConsumption_L_per_MWh","WaterConsumption_label","StandardError","NumberOfStudies","WaterConsumption_L_per_kWh"
"13","Wind","Low",153,"153","126","7",0.153
"14","Wind","Average",279,"279","126","7",0.279
"15","Wind","High",406,"406","126","7",0.406
"16","Solar","Low",287,"287","159","10",0.287
"17","Solar","Average",446,"446","159","10",0.446
"18","Solar","High",606,"606","159","10",0.606
"19","Gas","Low",773,"773","74","91",0.773
"20","Gas","Average",847,"847","74","91",0.847
"21","Gas","High",921,"921","74","91",0.921
"22","Geothermal","Low",893,"893","331","22",0.893
"23","Geothermal","Average",1224,"1,224","331","22",1.224
"24","Geothermal","High",1555,"1,555","331","22",1.555
"25","Conc. solar power","Low",1534,"1,534","273","28",1.534
"26","Conc. solar power","Average",1806,"1,806","273","28",1.806
"27","Conc. solar power","High",2079,"2,079","273","28",2.079
"28","Nuclear","Low",1912,"1,912","191","25",1.912
"29","Nuclear","Average",2103,"2,103","191","25",2.103
"30","Nuclear","High",2294,"2,294","191","25",2.294
"31","Coal","Low",2255,"2,255","70","227",2.255
"32","Coal","Average",2325,"2,325","70","227",2.325
"33","Coal","High",2395,"2,395","70","227",2.395
"34","Oil","Low",2369,"2,369","821","7",2.369
"35","Oil","Average",3190,"3,190","821","7",3.19
"36","Oil","High",4011,"4,011","821","7",4.011
"37","Hydro","Low",56764,"56,764","13,166","1,133",56.764
"38","Hydro","Average",69930,"69,930","13,166","1,133",69.93
"39","Hydro","High",83096,"83,096","13,166","1,133",83.096
"40","Biomass","Low",483860,"483,860","53,373","45",483.86
"41","Biomass","Average",537234,"537,234","53,373","45",537.234
"42","Biomass","High",590607,"590,607","53,373","45",590.607
